Region,SubRegion,Country,Country Code,DrugGroup,Drug,Year,KgEquivalent
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis seed,2017,294
Africa,North Africa,Egypt,EGY,Cannabis-type,Hashish (resin),2017,30090
Africa,North Africa,Egypt,EGY,Cannabis-type,Marijuana (herb),2017,148
Africa,North Africa,Egypt,EGY,Cannabis-type,Marijuana (herb),2017,242566
Africa,North Africa,Egypt,EGY,Cocaine-type,Cocaine salts,2017,14
Africa,North Africa,Egypt,EGY,Hallucinogens,LSD,2017,1.46E-05
Africa,North Africa,Egypt,EGY,Opioids,Heroin,2017,856
Africa,North Africa,Egypt,EGY,Opioids,Heroin,2017,0.027
Africa,North Africa,Egypt,EGY,Opioids,Opium,2017,129
Africa,North Africa,Egypt,EGY,Opioids,Opium,2017,0.029
Africa,North Africa,Egypt,EGY,Opioids,Pharmaceutical opioids,2017,0.180500003
Africa,North Africa,Egypt,EGY,Opioids,Pharmaceutical opioids,2017,300
Africa,North Africa,Egypt,EGY,Opioids,Pharmaceutical opioids,2017,11813.58828
Africa,North Africa,Egypt,EGY,Opioids,Poppy seed,2017,186
Africa,North Africa,Egypt,EGY,ATS,Amphetamine,2016,6111.725
Africa,North Africa,Egypt,EGY,ATS,Ecstasy-type substances,2016,0.35
Africa,North Africa,Egypt,EGY,ATS,Ecstasy-type substances,2016,5.62054
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis oil,2016,13
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis plants,2016,64
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis seed,2016,210
Africa,North Africa,Egypt,EGY,Cannabis-type,Hashish (resin),2016,29236
Africa,North Africa,Egypt,EGY,Cannabis-type,Marijuana (herb),2016,200849
Africa,North Africa,Egypt,EGY,Cannabis-type,Other types of cannabis,2016,577
Africa,North Africa,Egypt,EGY,Cocaine-type,Cocaine salts,2016,26
Africa,North Africa,Egypt,EGY,Hallucinogens,Other Hallucinogens,2016,0.105
Africa,North Africa,Egypt,EGY,Opioids,Heroin,2016,816
Africa,North Africa,Egypt,EGY,Opioids,Heroin,2016,0.034
Africa,North Africa,Egypt,EGY,Opioids,Illicit morphine,2016,0.040000001
Africa,North Africa,Egypt,EGY,Opioids,Opium,2016,167
Africa,North Africa,Egypt,EGY,Opioids,Opium,2016,0.054
Africa,North Africa,Egypt,EGY,Opioids,Other illicit opioids,2016,43
Africa,North Africa,Egypt,EGY,Opioids,Pharmaceutical opioids,2016,12641.59029
Africa,North Africa,Egypt,EGY,Opioids,Pharmaceutical opioids,2016,0.00785
Africa,North Africa,Egypt,EGY,Sedatives and Tranquillizers,Other sedatives and tranquillizers,2016,4E-05
Africa,North Africa,Egypt,EGY,Sedatives and Tranquillizers,Other sedatives and tranquillizers,2016,0
Africa,North Africa,Egypt,EGY,ATS,Amphetamine,2015,2428.9515
Africa,North Africa,Egypt,EGY,ATS,Ecstasy-type substances,2015,1.379119
Africa,North Africa,Egypt,EGY,ATS,Methamphetamine,2015,0.177
Africa,North Africa,Egypt,EGY,ATS,Methamphetamine,2015,0.003
Africa,North Africa,Egypt,EGY,ATS,Other stimulants,2015,0.38275
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis oil,2015,375
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis plants,2015,1056.8
Africa,North Africa,Egypt,EGY,Cannabis-type,Hashish (resin),2015,33550
Africa,North Africa,Egypt,EGY,Cannabis-type,Marijuana (herb),2015,360040
Africa,North Africa,Egypt,EGY,Cannabis-type,Synthetic cannabinoids under international control,2015,15
Africa,North Africa,Egypt,EGY,Cocaine-type,Cocaine salts,2015,23
Africa,North Africa,Egypt,EGY,Opioids,Heroin,2015,516
Africa,North Africa,Egypt,EGY,Opioids,Heroin,2015,0.029
Africa,North Africa,Egypt,EGY,Opioids,Opium,2015,159
Africa,North Africa,Egypt,EGY,Opioids,Other illicit opiates,2015,0.074
Africa,North Africa,Morocco,MOR,ATS,Ecstasy-type substances,2019,280.318335
Africa,North Africa,Morocco,MOR,Cannabis-type,Hashish (resin),2019,320926
Africa,North Africa,Morocco,MOR,Cannabis-type,Marijuana (herb),2019,295879
Africa,North Africa,Morocco,MOR,Cocaine-type,Cocaine salts,2019,1462.463
Africa,North Africa,Morocco,MOR,Non-specified,Psychotropic substances,2019,0.131369997
Africa,North Africa,Morocco,MOR,Opioids,Heroin,2019,7.216
Africa,North Africa,Morocco,MOR,Sedatives and Tranquillizers,Benzodiazepines,2019,4.694999895
Africa,North Africa,Morocco,MOR,ATS,Ecstasy-type substances,2018,292.521465
Africa,North Africa,Morocco,MOR,Cannabis-type,Hashish (resin),2018,71867
Africa,North Africa,Morocco,MOR,Cannabis-type,Marijuana (herb),2018,261659
Africa,North Africa,Morocco,MOR,Cocaine-type,Cocaine salts,2018,1691
Africa,North Africa,Morocco,MOR,Non-specified,Psychotropic substances,2018,0.038229999
Africa,North Africa,Morocco,MOR,Opioids,Heroin,2018,3.626
Africa,North Africa,Morocco,MOR,Opioids,Pharmaceutical opioids,2018,2250.000184
Africa,North Africa,Morocco,MOR,Sedatives and Tranquillizers,Benzodiazepines,2018,2.876599936
Africa,North Africa,Morocco,MOR,ATS,Ecstasy-type substances,2017,149.040786
Africa,North Africa,Morocco,MOR,Cannabis-type,Hashish (resin),2017,117198
Africa,North Africa,Morocco,MOR,Cannabis-type,Marijuana (herb),2017,283228
Africa,North Africa,Morocco,MOR,Cocaine-type,Cocaine salts,2017,2805
Africa,North Africa,Morocco,MOR,Non-specified,Psychotropic substances,2017,0.009
Africa,North Africa,Morocco,MOR,Opioids,Heroin,2017,11.477
Africa,North Africa,Morocco,MOR,Opioids,Pharmaceutical opioids,2017,1992.60003
Africa,North Africa,Morocco,MOR,Sedatives and Tranquillizers,Benzodiazepines,2017,3.422159924
Africa,North Africa,Morocco,MOR,ATS,Ecstasy-type substances,2016,130.538261
Africa,North Africa,Morocco,MOR,Cannabis-type,Hashish (resin),2016,236860
Africa,North Africa,Morocco,MOR,Cannabis-type,Marijuana (herb),2016,296039
Africa,North Africa,Morocco,MOR,Cocaine-type,Cocaine salts,2016,1588
Africa,North Africa,Morocco,MOR,Non-specified,Psychotropic substances,2016,0.039499999
Africa,North Africa,Morocco,MOR,Opioids,Heroin,2016,15.699
Africa,North Africa,Morocco,MOR,Sedatives and Tranquillizers,Benzodiazepines,2016,8.233269816
Africa,North Africa,Morocco,MOR,ATS,Ecstasy-type substances,2015,3.499152
Africa,North Africa,Morocco,MOR,Cannabis-type,Hashish (resin),2015,234944
Africa,North Africa,Morocco,MOR,Cannabis-type,Marijuana (herb),2015,313638
Africa,North Africa,Morocco,MOR,Cocaine-type,Cocaine salts,2015,122.582
Africa,North Africa,Morocco,MOR,Non-specified,Psychotropic substances,2015,0.01645
Africa,North Africa,Morocco,MOR,Opioids,Heroin,2015,2972
Africa,North Africa,Morocco,MOR,Sedatives and Tranquillizers,Benzodiazepines,2015,2.395019946
Africa,North Africa,Sudan,SUD,ATS,Non-specified ATS,2018,18.945
Africa,North Africa,Sudan,SUD,Cannabis-type,Cannabis oil,2018,250
Africa,North Africa,Sudan,SUD,Cannabis-type,Marijuana (herb),2018,204702
Africa,North Africa,Sudan,SUD,Cocaine-type,Cocaine salts,2018,1.425
Africa,North Africa,Sudan,SUD,Hallucinogens,Non-specified hallucinogens,2018,0.66950001
Africa,North Africa,Sudan,SUD,Opioids,Heroin,2018,1300
Africa,North Africa,Sudan,SUD,Other miscellaneous,Other miscellaneous,2018,0
Africa,North Africa,Sudan,SUD,Sedatives and Tranquillizers,Non-specified sedatives and tranquillizers,2018,13.78112969
Africa,North Africa,Sudan,SUD,ATS,Amphetamine,2017,77.77675
Africa,North Africa,Sudan,SUD,ATS,Methamphetamine,2017,0.2
Africa,North Africa,Sudan,SUD,Cannabis-type,Cannabis plants,2017,205000
Africa,North Africa,Sudan,SUD,Cannabis-type,Cannabis seed,2017,3000
Africa,North Africa,Sudan,SUD,Cannabis-type,Hashish (resin),2017,3500
Africa,North Africa,Sudan,SUD,Cannabis-type,Marijuana (herb),2017,45035
Africa,North Africa,Sudan,SUD,Cocaine-type,Cocaine salts,2017,6.1
Africa,North Africa,Sudan,SUD,Opioids,Heroin,2017,47
Africa,North Africa,Sudan,SUD,Opioids,Pharmaceutical opioids,2017,56.97855085
Africa,North Africa,Sudan,SUD,Substances not under international control,Plant-based NPS,2017,2570
Africa,North Africa,Sudan,SUD,ATS,Amphetamine,2016,440.174
Africa,North Africa,Sudan,SUD,Cannabis-type,Marijuana (herb),2016,45000
Africa,North Africa,Sudan,SUD,Cannabis-type,Other types of cannabis,2016,13907
Africa,North Africa,Sudan,SUD,Cocaine-type,Cocaine salts,2016,9.6
Africa,North Africa,Sudan,SUD,Opioids,Pharmaceutical opioids,2016,33.12320049
Africa,North Africa,Sudan,SUD,Substances not under international control,Other prescription medicines,2016,0.229669995
Africa,North Africa,Sudan,SUD,Substances not under international control,Plant-based NPS,2016,10880
Africa,North Africa,Tunisia,TUN,ATS,Ecstasy-type substances,2019,47.534755
Africa,North Africa,Tunisia,TUN,Cannabis-type,Hashish (resin),2019,2042.427
Africa,North Africa,Tunisia,TUN,Cocaine-type,Cocaine salts,2019,9.311
Africa,North Africa,Tunisia,TUN,Hallucinogens,Non-specified hallucinogens,2019,0.033
Africa,North Africa,Tunisia,TUN,Opioids,Heroin,2019,0.81313
Africa,North Africa,Tunisia,TUN,Opioids,Pharmaceutical opioids,2019,1.020500015
Africa,North Africa,Tunisia,TUN,Sedatives and Tranquillizers,Benzodiazepines,2019,3.158189929
Africa,North Africa,Tunisia,TUN,ATS,Ecstasy-type substances,2018,2.092662
Africa,North Africa,Tunisia,TUN,Cannabis-type,Hashish (resin),2018,779
Africa,North Africa,Tunisia,TUN,Cannabis-type,Marijuana (herb),2018,376.281
Africa,North Africa,Tunisia,TUN,Cocaine-type,Cocaine salts,2018,9
Africa,North Africa,Tunisia,TUN,Opioids,Heroin,2018,1.3
Africa,North Africa,Tunisia,TUN,Opioids,Other illicit opioids,2018,0.057950001
Africa,North Africa,Tunisia,TUN,Cannabis-type,Hashish (resin),2017,759
Africa,North Africa,Tunisia,TUN,Cocaine-type,Cocaine salts,2017,70
Africa,North Africa,Tunisia,TUN,Opioids,Heroin,2017,1.4
Africa,North Africa,Tunisia,TUN,Sedatives and Tranquillizers,Non-specified sedatives and tranquillizers,2017,0.91346998
Africa,North Africa,Tunisia,TUN,ATS,Ecstasy-type substances,2016,1.08942
Africa,North Africa,Tunisia,TUN,Cannabis-type,Hashish (resin),2016,34
Africa,North Africa,Tunisia,TUN,Cannabis-type,Marijuana (herb),2016,0.283
Africa,North Africa,Tunisia,TUN,Cocaine-type,Cocaine salts,2016,36
Africa,North Africa,Tunisia,TUN,Opioids,Heroin,2016,0.27
Africa,North Africa,Tunisia,TUN,Opioids,Pharmaceutical opioids,2016,1.532700023
Africa,North Africa,Tunisia,TUN,Substances not under international control,Ketamine and phencyclidine-type substances,2016,0.00123
Africa,North Africa,Tunisia,TUN,ATS,Non-specified ATS,2015,16.04575
Africa,North Africa,Tunisia,TUN,Cannabis-type,Non-specified cannabis-type,2015,9669.411
Africa,North Africa,Tunisia,TUN,Cocaine-type,Cocaine salts,2015,0.001123
Africa,North Africa,Tunisia,TUN,Opioids,Heroin,2015,1.7
Africa,Southern Africa,Angola,ANG,ATS,Non-specified ATS,2018,412.16
Africa,Southern Africa,Angola,ANG,Cannabis-type,Cannabis plants,2018,6657.8
Africa,Southern Africa,Angola,ANG,Cannabis-type,Marijuana (herb),2018,7542.3785
Africa,Southern Africa,Angola,ANG,Cocaine-type,Crack,2018,0.615
Africa,Southern Africa,Angola,ANG,Cannabis-type,Cannabis plants,2017,2026.6
Africa,Southern Africa,Angola,ANG,Cannabis-type,Marijuana (herb),2017,199.799155
Africa,Southern Africa,Angola,ANG,Cocaine-type,Cocaine salts,2017,0.152969
Africa,Southern Africa,Angola,ANG,Cocaine-type,Crack,2017,0.5274
Africa,Southern Africa,Angola,ANG,Cannabis-type,Cannabis plants,2016,185.9
Africa,Southern Africa,Angola,ANG,Cannabis-type,Marijuana (herb),2016,9.749
Africa,Southern Africa,Angola,ANG,Cocaine-type,Cocaine salts,2016,0.126
Africa,Southern Africa,Angola,ANG,Cocaine-type,Crack,2016,7.01
Africa,Southern Africa,Eswatini,SWA,Cannabis-type,Cannabis plants,2019,729.9
Africa,Southern Africa,Eswatini,SWA,Cannabis-type,Marijuana (herb),2019,4575.415
Africa,Southern Africa,Eswatini,SWA,Cannabis-type,Marijuana (herb),2018,13974.6
Africa,Southern Africa,Eswatini,SWA,Cocaine-type,Cocaine salts,2018,0.728
Africa,Southern Africa,Eswatini,SWA,Opioids,Heroin,2018,0.008
Africa,Southern Africa,Mozambique,MOZ,ATS,Methamphetamine,2019,307.3
Africa,Southern Africa,Mozambique,MOZ,Cannabis-type,Marijuana (herb),2019,2728.635
Africa,Southern Africa,Mozambique,MOZ,Cocaine-type,Cocaine salts,2019,19.83
Africa,Southern Africa,Mozambique,MOZ,Opioids,Heroin,2019,231.3
Africa,Southern Africa,Mozambique,MOZ,ATS,Methamphetamine,2018,83.41
Africa,Southern Africa,Mozambique,MOZ,Cannabis-type,Marijuana (herb),2018,5293.76
Africa,Southern Africa,Mozambique,MOZ,Cocaine-type,Cocaine salts,2018,155.09
Africa,Southern Africa,Mozambique,MOZ,Opioids,Heroin,2018,0.000321
